PARLAMENTARIO_ID,PARTIDO_POLITICO,NOMBRE_COMPLETO
1462,,Ramon Segundo Subercaseaux 
1859,,Ramon Vega Hidalgo
2968,,Raul Armando Barrionuevo Barrionuevo
2243,,Raul Eduardo Gormaz Molina
1151,,Raul Galvarino Ampuero Diaz
1378,,Raul Hernan Brucher Encina
2108,,Raul Hernan Morales Adriasola
3815,,Raul Herrera Herrera
2348,,Raul Juliet Gomez
3139,,Raul Marin Balmaceda
4533,,Raul Saldivar Auger
345,,Raul Sanchez Banados
1399,,Raul Sunico Galdames
2689,,Raul Urrutia Avila
3764,,Renato Emilio De La Jara Parada
4615,,Renato Garin Gonzalez
1405,,Renato Ludwig Laemmermann Monsalves
629,,Renato Valenzuela Labbe
2555,,Rene Aedo Ormeno
3660,,Rafael Otero Echeverria
371,,Rafael De La Presa Casanueva
2896,,Patricio Hurtado Pereira
1975,,Rafael Arratia Valdebenito
504,,Patricio Melero Abaroa
1944,,Patricio Phillips Penafiel
3449,,Patricio Vallespin Lopez
802,,Patricio Walker Prieto
376,,Paul Aldunate Phillips
994,,Pedro Alvarez-Salamanca Ramirez
1710,,Pedro Antonio Acuna 
363,,Pedro Antonio Jauregui Castro
2064,,Pedro Arnoldo Urra Veloso
1763,,Pedro Browne Urrejola
1834,,Pedro Crispino Stark Troncoso
809,,Pedro Felipe Ramirez Ceballos
2497,,Pedro Hector Alvarado Paez
66,,Pedro Hector Munoz Aburto
2591,,Pedro Ibanez Ojeda
941,,Pedro Munoz Rojas
467,,Pedro Nolasco Del Carmen Videla Riquelme
1877,,Pedro Nolasco Muga Gonzalez
3440,,Pedro Opitz Velasquez
3831,,Pedro Pablo Araya Ortiz
451,,Pedro Pablo Benavides 
1616,,Pedro Pablo Alvarez Salamanca Buchi
